poi_id,poi_category,lat_pos,lon_pos
498,airport,-119.46333,36.60667
499,airport,-119.47861,35.3525
500,airport,-119.48417,37.06472
501,airport,-119.48861,35.69139
502,airport,-119.51,36.84972
503,airport,-119.5175,37.09972
504,airport,-119.52583,34.92194
505,airport,-119.5425,36.08861
506,airport,-119.54306,36.26694
507,airport,-119.55444,36.73194
508,airport,-119.55944,36.59889
509,airport,-119.56111,34.33278
510,airport,-119.56778,36.56583
511,airport,-119.58889,34.28639
512,airport,-119.59472,36.10222
513,airport,-119.59972,35.68667
514,airport,-119.60417,34.33083
515,airport,-119.6175,36.39972
516,airport,-119.62861,36.31833
517,airport,-119.63972,36.58306
518,airport,-119.64056,36.275
519,airport,-119.64667,36.04556
520,airport,-119.65833,36.58139
521,airport,-119.65944,36.32972
522,airport,-119.66333,36.86083
523,airport,-119.66833,36.82361
524,airport,-119.67,36.52111
525,airport,-119.68611,35.62333
526,airport,-119.68833,34.93722
527,airport,-119.71806,36.77611
528,airport,-119.72139,36.67306
529,airport,-119.72194,35.46778
530,airport,-119.73861,36.70417
531,airport,-119.75361,36.73694
532,airport,-119.75972,36.71917
533,airport,-119.76389,36.51417
534,airport,-119.76611,38.73583
535,airport,-119.78556,36.91417
536,airport,-119.80944,34.43333
537,airport,-119.81333,36.16
538,airport,-119.81972,36.73222
539,airport,-119.825,36.33306
540,airport,-119.82528,36.8475
541,airport,-119.84028,34.42611
542,airport,-119.84083,36.20389
543,airport,-119.84944,36.15667
544,airport,-119.85278,34.01972
545,airport,-119.86194,37.34028
546,airport,-119.87028,36.84
547,airport,-119.88139,35.64889
548,airport,-119.88417,36.46639
549,airport,-119.88833,36.12056
550,airport,-119.90583,34.38944
551,airport,-119.91194,34.43
552,airport,-119.91306,37.11778
553,airport,-119.915,34.06056
554,airport,-119.98556,36.13167
555,airport,-119.98778,37.12056
556,airport,-119.99528,38.89361
557,airport,-120,35.31361
558,airport,-120.00083,38.84139
559,airport,-120.00389,41.16889
560,airport,-120.00917,35.63611
561,airport,-120.01333,34.58722
562,airport,-120.03,36.71222
563,airport,-120.03972,38.45861
564,airport,-120.04167,37.51056
565,airport,-120.04194,41.3075
566,airport,-120.06528,34.62194
567,airport,-120.07556,34.60667
568,airport,-120.08417,38.14417
569,airport,-120.08611,36.20083
570,airport,-120.10083,34.38833
571,airport,-120.11,36.33861
572,airport,-120.11194,36.98556
573,airport,-120.12139,34.39056
574,airport,-120.13528,36.70333
575,airport,-120.13944,39.32
576,airport,-120.14222,36.00389
577,airport,-120.14361,37.05694
578,airport,-120.14667,41.87611
579,airport,-120.16,39.08639
580,airport,-120.16611,41.5525
581,airport,-120.17722,36.90528
582,airport,-120.17833,37.86139
583,airport,-120.17861,40.13861
584,airport,-120.19333,37.88
585,airport,-120.2,39.32389
586,airport,-120.2375,36.24778
587,airport,-120.2425,36.94139
588,airport,-120.24667,37.11222
589,airport,-120.24722,36.33583
590,airport,-120.25083,36.58306
591,airport,-120.26528,36.42472
592,airport,-120.27611,37.19083
593,airport,-120.29389,37.34972
594,airport,-120.29944,38.95139
595,airport,-120.33861,35.59472
596,airport,-120.35278,38.19139
597,airport,-120.35417,39.58083
598,airport,-120.35556,39.81806
599,airport,-120.36028,36.16028
600,airport,-120.36639,40.80306
601,airport,-120.37111,36.75778
602,airport,-120.37806,37.0725
603,airport,-120.3975,37.52333
604,airport,-120.40333,37.3425
605,airport,-120.41194,38.03444
606,airport,-120.4125,34.95056
607,airport,-120.41444,38.03028
608,airport,-120.42472,34.94306
609,airport,-120.43111,34.98333
610,airport,-120.43833,39.65111
611,airport,-120.45722,34.89889
612,airport,-120.45778,34.98806
613,airport,-120.46444,36.85972
614,airport,-120.46444,36.99833
615,airport,-120.46611,37.08028
616,airport,-120.46667,34.66556
617,airport,-120.47694,38.3275
618,airport,-120.47861,37.23167
619,airport,-120.50083,37.08861
620,airport,-120.51361,37.28444
621,airport,-120.525,35.40472
622,airport,-120.52583,41.24
623,airport,-120.5325,41.32694
624,airport,-120.53611,38.76
625,airport,-120.54111,38.08306
626,airport,-120.54833,35.66889
627,airport,-120.54861,38.76833
628,airport,-120.55417,37.85944
629,airport,-120.56528,41.48278
630,airport,-120.56583,37.04972
631,airport,-120.56583,39.46222
632,airport,-120.56667,37.06528
633,airport,-120.56694,37.37861
634,airport,-120.57278,40.37667
635,airport,-120.58972,35.185
636,airport,-120.605,37.33444
637,airport,-120.62194,35.10111
638,airport,-120.62694,35.67278
639,airport,-120.63,36.96222
640,airport,-120.64222,35.23694
641,airport,-120.64722,34.455
642,airport,-120.64806,38.14611
643,airport,-120.66056,35.25222
644,airport,-120.66389,41.52222
645,airport,-120.6675,36.89972
646,airport,-120.67417,38.1925
647,airport,-120.68167,34.46889
648,airport,-120.68417,41.41222
649,airport,-120.69667,37.48722
650,airport,-120.70306,34.49472
651,airport,-120.70917,39.27472
652,airport,-120.7175,38.74194
653,airport,-120.71917,35.55472
654,airport,-120.73111,38.69611
655,airport,-120.73417,38.79972
656,airport,-120.7425,35.32639
657,airport,-120.75306,38.72417
658,airport,-120.76833,40.65028
659,airport,-120.79389,38.37667
660,airport,-120.79722,35.56806
661,airport,-120.8,37.75611
662,airport,-120.82694,38.69472
663,airport,-120.83417,38.84972
664,airport,-120.83917,37.51194
665,airport,-120.84389,37.47056
666,airport,-120.84861,35.64528
667,airport,-120.86444,38.92083
668,airport,-120.8675,37.32472
669,airport,-120.86917,37.06278
670,airport,-120.86944,35.95639
671,airport,-120.88778,38.43972
672,airport,-120.88972,37.72333
673,airport,-120.89889,38.75389
674,airport,-120.9075,36.02583
675,airport,-120.92222,38.81722
676,airport,-120.92306,38.26361
677,airport,-120.92722,37.38806
678,airport,-120.93,40.13306
679,airport,-120.93139,38.25611
680,airport,-120.94667,39.94361
681,airport,-120.95083,39.98306
682,airport,-120.95389,41.18694
683,airport,-120.95417,37.62556
684,airport,-120.95917,39.94028
685,airport,-120.96306,37.2625
686,airport,-120.96472,37.84556
687,airport,-120.97306,38.33722
688,airport,-120.98694,38.68389
689,airport,-121.00222,39.22389
690,airport,-121.01472,38.43028
691,airport,-121.01528,37.935
692,airport,-121.035,40.30639
693,airport,-121.05083,39.23306
694,airport,-121.05278,38.93444
695,airport,-121.05639,39.11361
696,airport,-121.05917,39.19972
697,airport,-121.075,38.46889
698,airport,-121.075,38.88778
699,airport,-121.07583,39.32472
700,airport,-121.08167,38.9525
701,airport,-121.10222,38.48861
702,airport,-121.11,35.6075
703,airport,-121.11833,38.00333
704,airport,-121.12056,36.22944
705,airport,-121.12361,41.13944
706,airport,-121.12583,37.05806
707,airport,-121.12583,38.01361
708,airport,-121.13139,36.20806
709,airport,-121.135,36.51
710,airport,-121.16139,37.64028
711,airport,-121.16889,38.10944
712,airport,-121.16917,37.46833
713,airport,-121.17139,38.42667
714,airport,-121.17583,38.8275
715,airport,-121.18639,36.32806
716,airport,-121.19833,37.66778
717,airport,-121.20472,37.54778
718,airport,-121.2075,38.06722
719,airport,-121.21472,39.22056
720,airport,-121.21889,38.65722
721,airport,-121.21944,38.13444
722,airport,-121.22,36.44694
723,airport,-121.22194,38.23028
724,airport,-121.22722,38.42333
725,airport,-121.22861,37.97944
726,airport,-121.23472,38.41056
727,airport,-121.235,36.46639
728,airport,-121.23806,37.89389
729,airport,-121.23861,40.28722
730,airport,-121.24083,40.2875
731,airport,-121.24306,40.28833
732,airport,-121.25083,38.30389
733,airport,-121.25444,38.28278
734,airport,-121.26333,38.60333
735,airport,-121.26806,38.20278
736,airport,-121.26917,38.20222
737,airport,-121.28417,39.96639
738,airport,-121.28472,37.8875
739,airport,-121.28667,38.12222
740,airport,-121.29111,39.45528
741,airport,-121.29944,37.67889
742,airport,-121.30333,38.33417
